datum;tag;warengruppe;name;kennz;preis;stud;bed;gast
22.01.2018;Mo;Suppe;Zucchinirahmsuppe (3,A,G,I,AA);V;0,70 / 0,90 / 1,40;0,70;0,90;1,40
22.01.2018;Mo;HG1;Bio-Fiocchi mit feurigem Tomaten-Mangoragout (3,A,I,AA);VG,MV;2,00 / 2,80 / 3,60;2,00;2,80;3,60
22.01.2018;Mo;HG2;Bayerische Krautschupfnudeln (3,A,C,I,AA);V;2,30 / 3,00 / 4,00;2,30;3,00;4,00
22.01.2018;Mo;HG3;Schnitzel Wiener Art mit Kartoffelsalat (C,G,J,AA);S;3,10 / 3,90 / 4,60;3,10;3,90;4,60
22.01.2018;Mo;HG4;Hähnchen Gyros mit Paprikaquark, Fladenbrot (3,G,K,AA);G,MV;3,70 / 4,70 / 5,20;3,70;4,70;5,20
22.01.2018;Mo;B1;Mischgemüse (3,A,I,AA);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
22.01.2018;Mo;B2;Reis mexikanisch (3,I);VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
22.01.2018;Mo;B3;Salatmix I (3)Tomatensalat (3,16)Erbsen-Paprikasalat (3,16)Sylter Dressing (G,J,L)Balsamico Dressing (1,3,5,16);VG,VG,VG,V,VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
22.01.2018;Mo;B4;Kartoffel-Gurkensalat (3,16,I,J);VG;1,00 / 1,10 / 1,60;1,00;1,10;1,60
22.01.2018;Mo;B5;Potato Dipers (1,8);V;1,00 / 1,10 / 1,60;1,00;1,10;1,60
22.01.2018;Mo;B6;Salat Buffet (1,3,6,9,16,C,G,J,L);V;3,00 / 3,50 / 4,20;3,00;3,50;4,20
22.01.2018;Mo;N1;Erdbeerpudding (G);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
22.01.2018;Mo;N2;Bio-Himbeerjoghurt (G);B,V;0,90 / 1,10 / 1,50;0,90;1,10;1,50
22.01.2018;Mo;N3;Cheescake-Creme (3,8,C,F,G,AA);V;1,10 / 1,40 / 1,60;1,10;1,40;1,60
23.01.2018;Di;Suppe;Bouillon mit Eierstich (C,G,I);G;0,70 / 0,90 / 1,40;0,70;0,90;1,40
23.01.2018;Di;HG1;Schinkennudeln (2,3,8,A,AA);S;2,00 / 2,80 / 3,60;2,00;2,80;3,60
23.01.2018;Di;HG2;Tagliatelle mit Lauch-Sojasahne und Walnüssen (3,A,F,H,I,AA);VG,MV;2,50 / 3,10 / 4,20;2,50;3,10;4,20
23.01.2018;Di;HG3;XXL Currywurst mit Pommes Frites (2,3,8,16,A,I,J,AA);S,R;3,10 / 3,90 / 4,60;3,10;3,90;4,60
23.01.2018;Di;HG4;Ente süß-sauer mit Bio-Basmatireis (3,16,A,F);G;5,00 / 6,00 / 6,50;5,00;6,00;6,50
23.01.2018;Di;B1;Bio-Fusilli (A,AA);B,VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
23.01.2018;Di;B2;Rosenkohl mit Semmelbrösel (3,A,I,AA);VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
23.01.2018;Di;B3;Bio-Basmatireis;B,VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
23.01.2018;Di;B4;Salatmix II (3)Gurkensalat (3,16)Karottenrohkost mit Äpfeln und Sesam (3,G,K)American Dressing (3,9,16,C,G,J)Balsamico Dressing (1,3,5,16);VG,VG,V,V,VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
23.01.2018;Di;B5;Pommes frites (8);VG;1,00 / 1,10 / 1,60;1,00;1,10;1,60
23.01.2018;Di;B6;Salat Buffet (1,3,6,9,16,C,G,J,L);V;3,00 / 3,50 / 4,20;3,00;3,50;4,20
23.01.2018;Di;N1;Beerenjoghurt (G);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
23.01.2018;Di;N2;Kokos Mandelpudding mit Ananas (1,3,G);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
23.01.2018;Di;N3;Tiramisu im Glas (1,8,14,A,C,G);V,A;1,10 / 1,40 / 1,60;1,10;1,40;1,60
24.01.2018;Mi;Suppe;Kartoffel-Lauch-Suppe (2,3,5,I);V;0,70 / 0,90 / 1,40;0,70;0,90;1,40
24.01.2018;Mi;HG1;Bio-Penne Rigate mit Käse-Sahnesauce (A,G,AA);V,B;2,00 / 2,80 / 3,60;2,00;2,80;3,60
24.01.2018;Mi;HG2;Chinawok mit Soja;;2,80 / 3,40 / 4,40;2,80;3,40;4,40
24.01.2018;Mi;HG3;Regionale Hähnchenkeule mit Ratatouille (2,3);G;3,10 / 3,90 / 4,60;3,10;3,90;4,60
24.01.2018;Mi;HG4;Krustenbraten vom Schwein (1,2,3,4,5,A,G,I,L,AA);S;3,10 / 3,90 / 4,60;3,10;3,90;4,60
24.01.2018;Mi;B1;Kartoffelpüree (3,G);V;0,70 / 0,90 / 1,40;0,70;0,90;1,40
24.01.2018;Mi;B2;Sauerkraut (2,3,8,I);S;0,70 / 0,90 / 1,40;0,70;0,90;1,40
24.01.2018;Mi;B3;Salatmix III (3)Tomatensalat (3,16)Brechbohnensalat (3,16)Sesam Dressing (9,A,C,F,G,J,K,L)Balsamico Dressing (1,3,5,16);VG,VG,VG,V,VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
24.01.2018;Mi;B4;Kroketten (A,AA);V;1,00 / 1,10 / 1,60;1,00;1,10;1,60
24.01.2018;Mi;B5;Reiberknödel (2,3,5,A,L,AA);VG;1,00 / 1,10 / 1,60;1,00;1,10;1,60
24.01.2018;Mi;B6;Salat Buffet (1,3,6,9,16,C,G,J,L);V;3,00 / 3,50 / 4,20;3,00;3,50;4,20
24.01.2018;Mi;N1;Heidelbeerquark (G);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
24.01.2018;Mi;N2;Schokopudding mit Kokosmilch (G);V;0,90 / 1,10 / 1,50;0,90;1,10;1,50
24.01.2018;Mi;N3;Grießspeise mit Erdbeeren (F,G,AA);V;1,10 / 1,40 / 1,60;1,10;1,40;1,60
25.01.2018;Do;Suppe;Suppe Juliana (3,5,I);VG;0,70 / 0,90 / 1,40;0,70;0,90;1,40
25.01.2018;Do;HG1;Gebratenes Gemüse mit Bio-Volkornreis (3,F,I);VG;2,00 / 2,80 / 3,60;2,00;2,80;3,60
25.01.2018;Do;HG2;Gratin Dauphinois (3,5,G,I);V;2,30 / 3,00 / 4,00;2,30;3,00;4,00
25.01.2018;Do;HG3;Rahmgulasch vom Schwein mit Semmelknödel (1,3,A,C,G,AA);S;2,80 / 3,40 / 4,40;2,80;3,40;4,40
25.01.2018;Do;HG4;Pollo al Naranja-Geflügel in Orangensauce (3,A,G,AA);G;3,10 / 3,90 / 4,60;3,10;3,90;4,60
25.01.2018;Do;B1;Bio-Paprikareis (3);B,VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
25.01.2018;Do;B2;Leipziger Allerlei Gemüse (3,I);VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
25.01.2018;Do;B3;Salatmix IV (3)Weißkrautsalat bayerisch (2,3,8)Salat Rustika (16)Curry Dressing (2,3,9,C,G,J)Balsamico Dressing (1,3,5,16);VG,S,VG,V,VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
25.01.2018;Do;B4;Kartoffelspätzle (A,C,AA);V;1,00 / 1,10 / 1,60;1,00;1,10;1,60
25.01.2018;Do;B5;Semmelknödel (1,3,A,C,G,AA);V;1,00 / 1,10 / 1,60;1,00;1,10;1,60
25.01.2018;Do;B6;Salat Buffet (1,3,6,9,16,C,G,J,L);V;3,00 / 3,50 / 4,20;3,00;3,50;4,20
25.01.2018;Do;N1;Moccapudding (G);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
25.01.2018;Do;N2;Apfelquark (3,G);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
25.01.2018;Do;N3;Erdnuss-Aprikosen Creme (1,E,G);V;1,10 / 1,40 / 1,60;1,10;1,40;1,60
26.01.2018;Fr;Suppe;Bärlauchcremesuppe (3,A,G,I,AA);V;0,70 / 0,90 / 1,40;0,70;0,90;1,40
26.01.2018;Fr;HG1;Maultaschen Stuttgarter Art (2,3,8,A,C,G,I,AA);S;2,00 / 2,80 / 3,60;2,00;2,80;3,60
26.01.2018;Fr;HG2;Kaiserschmarrn mit Apfelmus (3,A,C,G,H,AA,HA);V;2,50 / 3,10 / 4,20;2,50;3,10;4,20
26.01.2018;Fr;HG3;Feuriges Kartoffelgulasch (3,A,F,AA);VG;2,80 / 3,40 / 4,40;2,80;3,40;4,40
26.01.2018;Fr;HG4;Tilapiafilet an Kokosgemüse und Bio Basmatireis (3,D,I,AA);F;4,20 / 5,20 / 5,70;4,20;5,20;5,70
26.01.2018;Fr;B1;Risoleekartoffeln;VG;0,70 / 0,90 / 1,40;0,70;0,90;1,40
26.01.2018;Fr;B2;Bio-Curryreis;B,VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
26.01.2018;Fr;B3;Pariser Karotten (3,I);VG;0,80 / 1,00 / 1,50;0,80;1,00;1,50
26.01.2018;Fr;B4;Salatmix V (3)Salat Rio (3,16)Zucchinisalat (3,16)Creme Fraiche Kräuterdressing (16,G)Balsamico Dressing (1,3,5,16);VG,VG,VG,V,VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
26.01.2018;Fr;B5;Mediterran Wedges*V (3,8,A,AA);;1,00 / 1,10 / 1,60;1,00;1,10;1,60
26.01.2018;Fr;B6;Salat Buffet (1,3,6,9,16,C,G,J,L);V;3,00 / 3,50 / 4,20;3,00;3,50;4,20
26.01.2018;Fr;N1;Aprikosenjoghurt (G);V;0,80 / 1,00 / 1,50;0,80;1,00;1,50
26.01.2018;Fr;N2;Mousse Noisette (F,G,H,HB);V;1,10 / 1,40 / 1,60;1,10;1,40;1,60
